product_type,variant_name,sku,design,width_mm,height_mm,depth_mm,unit,price_per_unit,is_active,notes
cladding,PVC Internal Wall Cladding Excel 01,CLAD-PVC-EXCEL-001,pvc internal wall cladding,168,2900,24,panel,1500,true,highest selling
cladding,PVC Internal Wall Cladding Excel 02,CLAD-PVC-EXCEL-002,pvc internal wall cladding,168,2900,24,panel,1500,true,highest selling
cladding,PVC Internal Wall Cladding Excel 03,CLAD-PVC-EXCEL-003,pvc internal wall cladding,168,2900,24,panel,1500,true,
cladding,PVC Internal Wall Cladding Excel 04,CLAD-PVC-EXCEL-004,pvc internal wall cladding,168,2900,24,panel,1500,true,
cladding,PVC Internal Wall Cladding Excel 05,CLAD-PVC-EXCEL-005,pvc internal wall cladding,168,2900,24,panel,1500,true,
cladding,PVC Internal Wall Cladding Excel 06,CLAD-PVC-EXCEL-006,pvc internal wall cladding,168,2900,24,panel,1500,false,out of stock
cladding,PVC Internal Wall Cladding Excel 07,CLAD-PVC-EXCEL-007,pvc internal wall cladding,168,2900,24,panel,1500,true,
cladding,PVC Internal Wall Cladding Excel 09,CLAD-PVC-EXCEL-009,pvc internal wall cladding,168,2900,24,panel,1500,true,
cladding,PVC Internal Wall Cladding Excel 10,CLAD-PVC-EXCEL-010,pvc internal wall cladding,158,2900,18,panel,1500,true,highest selling
cladding,PVC Internal Wall Cladding Excel 11,CLAD-PVC-EXCEL-011,pvc internal wall cladding,168,2900,24,panel,1500,true,highest selling
cladding,PVC Internal Wall Cladding Excel 12,CLAD-PVC-EXCEL-012,pvc internal wall cladding,158,2900,18,panel,1500,true,
cladding,PVC Internal Wall Cladding Excel 14,CLAD-PVC-EXCEL-014,pvc internal wall cladding,168,2900,24,panel,1500,true,
cladding,PVC Internal Wall Cladding Excel 15,CLAD-PVC-EXCEL-015,pvc internal wall cladding,168,2900,24,panel,1500,true,
cladding,PVC Internal Wall Cladding Excel 16,CLAD-PVC-EXCEL-016,pvc internal wall cladding,168,2900,24,panel,1500,true,
cladding,PVC Internal Wall Cladding Excel 17,CLAD-PVC-EXCEL-017,pvc internal wall cladding,211,2900,9,panel,2200,true,
cladding,PVC Internal Wall Cladding Excel 18,CLAD-PVC-EXCEL-018,pvc internal wall cladding,211,2900,9,panel,2200,true,
cladding,PVC Internal Wall Cladding Excel 19,CLAD-PVC-EXCEL-019,pvc internal wall cladding,211,2900,9,panel,2200,true,
cladding,PVC Internal Wall Cladding Excel 22,CLAD-PVC-EXCEL-022,pvc internal wall cladding,202,2900,14,panel,2000,true,
cladding,PVC Internal Wall Cladding Excel 23,CLAD-PVC-EXCEL-023,pvc internal wall cladding,202,2900,14,panel,2000,true,
cladding,PVC Internal Wall Cladding Excel 24,CLAD-PVC-EXCEL-024,pvc internal wall cladding,202,2900,14,panel,2000,true,
cladding,PVC Internal Wall Cladding Excel 25,CLAD-PVC-EXCEL-025,pvc internal wall cladding,202,2900,14,panel,2000,true,
